id,x,y,label
80,1231567.54600292,5781364.30630141,1
81,1231628.88304235,5781463.60956035,1
82,1231668.50164912,5781327.18806735,1
83,1231888.70273386,5781516.6593685,1
84,1231934.06542636,5781608.25517723,1
85,1231997.18357764,5781631.4467771,1
86,1231984.09240553,5781665.39284954,1
87,1231957.15308875,5781627.96883462,1
88,1232048.12337663,5781368.42521693,1
89,1231645.94832029,5781828.3293955,1
90,1231919.24880214,5781668.26176341,1
91,1231966.50392598,5781418.87808057,1
92,1231952.76710082,5781497.69923445,1
93,1231808.31892956,5781280.56611876,1
94,1232131.44601549,5781411.16909521,1
95,1231924.29157507,5781417.00292135,1
96,1231983.92542629,5781366.46993384,1
97,1231841.84836019,5781559.08341633,1
98,1231727.22268052,5781900.13397844,1
99,1231447.93321007,5781985.88351691,1
100,1231396.51473727,5781754.16933521,1
101,1231879.21831325,5781592.1316819,1
102,1231685.63371876,5781672.3167103,1
103,1232067.33712074,5781700.97385818,1
104,1232045.5073686,5781584.79117386,1
105,1231543.25609003,5781688.84103874,1
106,1231438.81614377,5782105.61369932,1
107,1231701.11825993,5782071.87430757,1
108,1231902.66219801,5781846.88954223,1
109,1231551.04845439,5781990.98043148,1
110,1231457.2172556,5781898.80366503,1
111,1231608.23327681,5781906.97788311,1
112,1231481.57396019,5782035.60260115,1
113,1231568.41429495,5782035.24998255,1
114,1231732.2765854,5782082.83759228,1
115,1231811.62511844,5782140.50725758,1
116,1231625.22063111,5781984.12043393,1
117,1231752.67031611,5782060.20579723,1
118,1231610.71570146,5781971.20185484,1
119,1231669.31428141,5781981.6841744,1
120,1231781.91394635,5782115.4871038,1
121,1231594.07343758,5781975.60955651,1
122,1231567.82430165,5781988.44800186,1
123,1231606.97536657,5781993.43272161,1
124,1231295.33645209,5781879.81065801,1
125,1231628.44889634,5781430.40150361,1
126,1231829.97057052,5781786.78558096,1
127,1231643.71079853,5781964.6624324,1
128,1231606.79725538,5781971.53844289,1
129,1231460.49004863,5782008.43498188,1
130,1231569.27145503,5782002.98543996,1
131,1231610.53759027,5781961.32861105,1
132,1231596.61152197,5781975.20885627,1
133,1231359.53440243,5781903.80436225,1
134,1231445.72908415,5781470.77366997,1
135,1231598.10320315,5781494.76626721,1
136,1231453.52144851,5781484.14027926,1
137,1231466.00036342,5781480.75855726,1
138,1231811.26889607,5781373.61793805,1
139,1232007.95930435,5781553.77839584,1
140,1232233.57051634,5781597.85343583,1
141,1232086.07219104,5781705.28526037,1
142,1232146.70791768,5781695.71683531,1
143,1232049.73750925,5781647.8267826,1
144,1232136.53331622,5781649.31733255,1
145,1231993.98870826,5782034.86530773,1
146,1231996.34868146,5782054.62799825,1
147,1231773.64290818,5782105.98234896,1
148,1231560.68872229,5781971.71475092,1
149,1232090.02403297,5781692.65558256,1
150,1232125.22325595,5781607.58202872,1
151,1232164.55243205,5781533.77641362,1
152,1232144.6262432,5781534.24120275,1
153,1232079.43754939,5782044.00133924,1
154,1232082.16487691,5782059.46850176,1
155,1232073.98289434,5782051.6788186,1
156,1231674.212339,5782008.5792345,1
157,1231561.86870889,5781777.84214635,1
158,1231701.46335035,5781741.39533947,1
159,1231628.49342414,5781981.15524972,1
160,1231740.20253314,5781886.78276978,1
161,1231880.10886918,5781613.65639445,1
162,1231645.36945894,5781425.56134357,1
163,1231649.94469001,5781411.85825579,1
